date,areaType,areaCode,areaName,newCasesByPublishDate,newDeathsByDeathDate
"2020-12-28",utla,E09000008,Croydon,530,
"2020-12-27",utla,E09000008,Croydon,473,0
"2020-12-26",utla,E09000008,Croydon,521,1
"2020-12-25",utla,E09000008,Croydon,489,8
"2020-12-24",utla,E09000008,Croydon,362,3
"2020-12-23",utla,E09000008,Croydon,371,4
"2020-12-22",utla,E09000008,Croydon,376,2
"2020-12-21",utla,E09000008,Croydon,335,6
"2020-12-20",utla,E09000008,Croydon,438,1
"2020-12-19",utla,E09000008,Croydon,338,3
"2020-12-18",utla,E09000008,Croydon,281,1
"2020-12-17",utla,E09000008,Croydon,295,2
"2020-12-16",utla,E09000008,Croydon,286,2
"2020-12-15",utla,E09000008,Croydon,180,3
"2020-12-14",utla,E09000008,Croydon,214,0
"2020-12-13",utla,E09000008,Croydon,170,0
"2020-12-12",utla,E09000008,Croydon,158,1
"2020-12-11",utla,E09000008,Croydon,188,0
"2020-12-10",utla,E09000008,Croydon,173,0
"2020-12-09",utla,E09000008,Croydon,122,3
"2020-12-08",utla,E09000008,Croydon,62,1
"2020-12-07",utla,E09000008,Croydon,94,1
"2020-12-06",utla,E09000008,Croydon,114,1
"2020-12-05",utla,E09000008,Croydon,97,3
"2020-12-04",utla,E09000008,Croydon,108,6
"2020-12-03",utla,E09000008,Croydon,71,3
"2020-12-02",utla,E09000008,Croydon,118,1
"2020-12-01",utla,E09000008,Croydon,79,2
"2020-11-30",utla,E09000008,Croydon,43,3
"2020-11-29",utla,E09000008,Croydon,69,2
"2020-11-28",utla,E09000008,Croydon,68,1
"2020-11-27",utla,E09000008,Croydon,74,1
"2020-11-26",utla,E09000008,Croydon,64,2
"2020-11-25",utla,E09000008,Croydon,101,0
"2020-11-24",utla,E09000008,Croydon,41,2
"2020-11-23",utla,E09000008,Croydon,82,1
"2020-11-22",utla,E09000008,Croydon,119,4
"2020-11-21",utla,E09000008,Croydon,120,1
"2020-11-20",utla,E09000008,Croydon,70,2
"2020-11-19",utla,E09000008,Croydon,76,3
"2020-11-18",utla,E09000008,Croydon,65,3
"2020-11-17",utla,E09000008,Croydon,109,0
"2020-11-16",utla,E09000008,Croydon,0,2
"2020-11-15",utla,E09000008,Croydon,89,2
"2020-11-14",utla,E09000008,Croydon,68,2
"2020-11-13",utla,E09000008,Croydon,150,0
"2020-11-12",utla,E09000008,Croydon,133,1
"2020-11-11",utla,E09000008,Croydon,50,1
"2020-11-10",utla,E09000008,Croydon,50,2
"2020-11-09",utla,E09000008,Croydon,70,1
"2020-11-08",utla,E09000008,Croydon,55,0
"2020-11-07",utla,E09000008,Croydon,72,0
"2020-11-06",utla,E09000008,Croydon,57,0
"2020-11-05",utla,E09000008,Croydon,100,1
"2020-11-04",utla,E09000008,Croydon,60,2
"2020-11-03",utla,E09000008,Croydon,56,0
"2020-11-02",utla,E09000008,Croydon,65,0
"2020-11-01",utla,E09000008,Croydon,66,0
"2020-10-31",utla,E09000008,Croydon,62,0
"2020-10-30",utla,E09000008,Croydon,99,0
"2020-10-29",utla,E09000008,Croydon,42,0
"2020-10-28",utla,E09000008,Croydon,86,1
"2020-10-27",utla,E09000008,Croydon,59,0
"2020-10-26",utla,E09000008,Croydon,69,1
"2020-10-25",utla,E09000008,Croydon,72,2
"2020-10-24",utla,E09000008,Croydon,61,0
"2020-10-23",utla,E09000008,Croydon,74,0
"2020-10-22",utla,E09000008,Croydon,47,0
"2020-10-21",utla,E09000008,Croydon,87,2
"2020-10-20",utla,E09000008,Croydon,50,2
"2020-10-19",utla,E09000008,Croydon,48,0
"2020-10-18",utla,E09000008,Croydon,41,0
"2020-10-17",utla,E09000008,Croydon,39,0
"2020-10-16",utla,E09000008,Croydon,29,0
"2020-10-15",utla,E09000008,Croydon,61,3
"2020-10-14",utla,E09000008,Croydon,63,0
"2020-10-13",utla,E09000008,Croydon,48,0
"2020-10-12",utla,E09000008,Croydon,21,0
"2020-10-11",utla,E09000008,Croydon,30,1
"2020-10-10",utla,E09000008,Croydon,25,0
"2020-10-09",utla,E09000008,Croydon,35,0
"2020-10-08",utla,E09000008,Croydon,60,0
"2020-10-07",utla,E09000008,Croydon,34,0
"2020-10-06",utla,E09000008,Croydon,33,0
"2020-10-05",utla,E09000008,Croydon,54,2
"2020-10-04",utla,E09000008,Croydon,80,0
"2020-10-03",utla,E09000008,Croydon,28,0
"2020-10-02",utla,E09000008,Croydon,32,1
"2020-10-01",utla,E09000008,Croydon,17,0
"2020-09-30",utla,E09000008,Croydon,16,1
"2020-09-29",utla,E09000008,Croydon,25,1
"2020-09-28",utla,E09000008,Croydon,10,0
"2020-09-27",utla,E09000008,Croydon,15,0
"2020-09-26",utla,E09000008,Croydon,3,0
"2020-09-25",utla,E09000008,Croydon,15,0
"2020-09-24",utla,E09000008,Croydon,24,0
